0.005,0.0,-0.0,0.0,-0.002,-0.0
0.005,0.0,-0.0,0.0,-0.002,-0.001
0.005,0.0,-0.0,0.0,-0.002,-0.001
0.005,0.0,-0.0,0.0,-0.002,-0.001
0.005,0.0,-0.0,0.0,-0.002,-0.001
0.005,0.0,-0.0,0.0,-0.002,-0.001
0.005,0.0,-0.0,0.0,-0.002,-0.001
0.005,0.0,-0.0,0.0,-0.002,-0.001
0.005,0.0,-0.0,0.0,-0.002,-0.001
0.005,0.0,-0.0,0.0,-0.002,-0.001
0.005,0.0,-0.0,0.0,-0.002,-0.001
0.005,0.0,-0.0,0.0,-0.002,-0.001
0.005,0.0,-0.0,0.0,-0.002,-0.001
0.005,0.0,-0.0,0.0,-0.002,-0.001
0.005,0.0,-0.0,0.0,-0.002,-0.001
0.005,0.0,-0.0,0.0,-0.002,-0.001
0.004,0.0,-0.0,0.0,-0.002,-0.002
0.004,0.0,-0.0,0.0,-0.002,-0.002
0.004,0.0,-0.0,0.0,-0.002,-0.002
0.004,0.0,-0.0,0.0,-0.002,-0.002
0.004,0.0,-0.0,0.0,-0.002,-0.002
0.004,0.0,-0.0,0.0,-0.002,-0.002
0.004,0.0,-0.0,0.0,-0.002,-0.002
0.004,0.0,-0.0,0.0,-0.002,-0.002
0.004,0.0,-0.0,0.0,-0.002,-0.002
0.004,0.0,-0.0,0.0,-0.002,-0.002
0.004,0.0,-0.0,0.0,-0.002,-0.002
0.004,0.0,-0.0,0.0,-0.002,-0.002
0.004,0.0,-0.0,0.0,-0.002,-0.003
0.004,0.0,-0.0,0.0,-0.002,-0.003
0.004,0.0,-0.0,0.0,-0.002,-0.003
0.004,0.0,-0.0,0.0,-0.002,-0.003
0.004,0.0,-0.0,0.0,-0.002,-0.003
0.004,0.0,-0.0,0.0,-0.002,-0.003
0.004,0.0,-0.0,0.0,-0.002,-0.003
0.004,0.0,-0.0,0.0,-0.002,-0.003
0.004,0.0,-0.0,0.0,-0.002,-0.003
0.004,0.0,-0.0,0.0,-0.002,-0.003
0.004,0.0,-0.0,0.0,-0.002,-0.003
0.004,0.0,-0.0,0.0,-0.002,-0.004
0.004,0.0,-0.0,0.0,-0.002,-0.004
0.004,0.0,-0.0,0.0,-0.002,-0.004
0.004,0.0,-0.0,0.0,-0.002,-0.004
0.004,0.0,-0.0,0.0,-0.002,-0.004
0.004,0.0,-0.0,0.0,-0.002,-0.004
0.004,0.0,-0.0,0.0,-0.002,-0.004
0.004,0.0,-0.0,0.0,-0.002,-0.004
0.003,0.0,-0.0,0.0,-0.002,-0.004
0.003,0.0,-0.0,0.0,-0.002,-0.004
0.003,0.0,-0.0,0.0,-0.002,-0.005
0.003,0.0,-0.0,0.0,-0.002,-0.005
0.003,0.0,-0.0,0.0,-0.002,-0.005
0.003,0.0,-0.0,0.0,-0.002,-0.005
0.003,0.0,-0.0,0.0,-0.002,-0.005
0.003,0.0,-0.0,0.0,-0.002,-0.005
0.003,0.0,-0.0,0.0,-0.001,-0.005
0.003,0.0,-0.0,0.0,-0.001,-0.005
0.003,0.0,-0.0,0.0,-0.001,-0.005
0.003,0.0,-0.0,0.0,-0.001,-0.005
0.003,0.0,-0.0,0.0,-0.001,-0.006
0.003,0.0,-0.0,0.0,-0.001,-0.006
0.003,0.0,-0.0,0.0,-0.001,-0.006
0.003,0.0,-0.0,0.0,-0.001,-0.006
0.003,0.0,-0.0,0.0,-0.001,-0.006
0.003,0.0,-0.0,0.0,-0.001,-0.006
0.003,0.0,-0.0,0.0,-0.001,-0.006
0.003,0.0,-0.0,0.0,-0.001,-0.006
0.003,0.0,-0.0,0.0,-0.001,-0.007
0.003,0.0,-0.0,0.0,-0.001,-0.007
0.003,0.0,-0.0,0.0,-0.001,-0.007
0.003,0.0,-0.0,0.0,-0.001,-0.007
0.003,0.0,-0.0,0.0,-0.001,-0.007
0.003,0.0,-0.0,0.0,-0.001,-0.007
0.003,0.0,-0.0,0.0,-0.001,-0.007
0.003,0.0,-0.0,0.0,-0.001,-0.007
0.003,0.0,-0.0,0.0,-0.001,-0.007
0.003,0.0,-0.0,0.0,-0.001,-0.008
0.003,0.0,-0.0,0.0,-0.001,-0.008
0.003,0.0,-0.0,0.0,-0.001,-0.008
0.003,0.0,-0.0,0.0,-0.001,-0.008
0.003,0.0,-0.0,0.0,-0.001,-0.008
0.003,0.0,-0.0,0.0,-0.001,-0.008
0.003,0.0,-0.0,0.0,-0.001,-0.008
0.003,0.0,-0.0,0.0,-0.001,-0.008
0.003,0.0,-0.0,0.0,-0.001,-0.009
0.003,0.0,-0.0,0.0,-0.001,-0.009
0.003,0.0,-0.0,0.0,-0.001,-0.009
0.003,0.0,-0.0,0.0,-0.001,-0.009
0.003,0.0,-0.0,0.0,-0.001,-0.009
0.003,0.0,-0.0,0.0,-0.001,-0.009
0.002,0.0,-0.0,0.0,-0.001,-0.009
0.002,0.0,-0.0,0.0,-0.001,-0.01
0.002,0.0,-0.0,0.0,-0.001,-0.01
0.002,0.0,-0.0,0.0,-0.001,-0.01
0.002,0.0,-0.0,0.0,-0.001,-0.01
0.002,0.0,-0.0,0.0,-0.001,-0.01
0.002,0.0,-0.0,0.0,-0.001,-0.01
0.002,0.0,-0.0,0.0,-0.001,-0.01
0.002,0.0,-0.0,0.0,-0.001,-0.01
0.002,0.0,-0.0,0.0,-0.001,-0.011
0.002,0.0,-0.0,0.0,-0.001,-0.011
0.002,0.0,-0.0,0.0,-0.001,-0.011
0.002,0.0,-0.0,0.0,-0.001,-0.011
0.002,0.0,-0.0,0.0,-0.001,-0.011
0.002,0.0,-0.0,0.0,-0.001,-0.011
0.002,0.0,-0.0,0.0,-0.001,-0.011
0.002,0.0,-0.0,0.0,-0.001,-0.012
0.002,0.0,-0.0,0.0,-0.001,-0.012
0.002,0.0,-0.0,0.0,-0.001,-0.012
0.002,0.0,-0.0,0.0,-0.001,-0.012
0.002,0.0,-0.0,0.0,-0.001,-0.012
0.002,0.0,-0.0,0.0,-0.001,-0.012
0.002,0.0,-0.0,0.0,-0.001,-0.012
0.002,0.0,-0.0,0.0,-0.001,-0.013
0.002,0.0,-0.0,0.0,-0.001,-0.013
0.002,0.0,-0.0,0.0,-0.001,-0.013
0.002,0.0,-0.0,0.0,-0.001,-0.013
0.002,0.0,-0.0,0.0,-0.001,-0.013
0.002,0.0,-0.0,0.0,-0.001,-0.013
0.002,0.0,-0.0,0.0,-0.001,-0.013
0.002,0.0,-0.0,0.0,-0.001,-0.014
0.002,0.0,-0.0,0.0,-0.001,-0.014
0.002,0.0,-0.0,0.0,-0.001,-0.014
0.002,0.0,-0.0,0.0,-0.001,-0.014
0.002,0.0,-0.0,0.0,-0.001,-0.014
0.002,0.0,-0.0,0.0,-0.001,-0.014
0.002,0.0,-0.0,0.0,-0.001,-0.014
0.002,0.0,-0.0,0.0,-0.001,-0.015
0.002,0.0,-0.0,0.0,-0.001,-0.015
0.002,0.0,-0.0,0.0,-0.001,-0.015
0.002,0.0,-0.0,0.0,-0.001,-0.015
0.002,0.0,-0.0,0.0,-0.001,-0.015
0.002,0.0,-0.0,0.0,-0.001,-0.015
0.002,0.0,-0.0,0.0,-0.001,-0.015
0.002,0.0,-0.0,0.0,-0.001,-0.016
0.002,0.0,-0.0,0.0,-0.001,-0.016
0.002,0.0,-0.0,0.0,-0.001,-0.016
0.002,0.0,-0.0,0.0,-0.001,-0.016
0.002,0.0,-0.0,0.0,-0.001,-0.016
0.002,0.0,-0.0,0.0,-0.001,-0.016
0.002,0.0,-0.0,0.0,-0.001,-0.016
0.002,0.0,-0.0,0.0,-0.001,-0.017
0.002,0.0,-0.0,0.0,-0.001,-0.017
0.002,0.0,-0.0,0.0,-0.001,-0.017
0.002,0.0,-0.0,0.0,-0.001,-0.017
0.002,0.0,-0.0,0.0,-0.001,-0.017
0.002,0.0,-0.0,0.0,-0.001,-0.017
0.002,0.0,-0.0,0.0,-0.001,-0.017
0.002,0.0,-0.0,0.0,-0.001,-0.018
0.002,0.0,-0.0,0.0,-0.001,-0.018
0.002,0.0,-0.0,0.0,-0.001,-0.018
0.002,0.0,-0.0,0.0,-0.001,-0.018
0.002,0.0,-0.0,0.0,-0.001,-0.018
0.002,0.0,-0.0,0.0,-0.001,-0.018
0.001,0.0,-0.0,0.0,-0.001,-0.018
0.001,0.0,-0.0,0.0,-0.001,-0.019
0.001,0.0,-0.0,0.0,-0.001,-0.019
0.001,0.0,-0.0,0.0,-0.001,-0.019
0.001,0.0,-0.0,0.0,-0.001,-0.019
0.001,0.0,-0.0,0.0,-0.001,-0.019
0.001,0.0,-0.0,0.0,-0.001,-0.019
0.001,0.0,-0.0,0.0,-0.001,-0.019
0.001,0.0,-0.0,0.0,-0.001,-0.02
0.001,0.0,-0.0,0.0,-0.001,-0.02
0.001,0.0,-0.0,0.0,-0.001,-0.02
0.001,0.0,-0.0,0.0,-0.001,-0.02
0.001,0.0,-0.0,0.0,-0.001,-0.02
0.001,0.0,-0.0,0.0,-0.001,-0.02
0.001,0.0,-0.0,0.0,-0.001,-0.02
0.001,0.0,-0.0,0.0,-0.001,-0.021
0.001,0.0,-0.0,0.0,-0.001,-0.021
0.001,0.0,-0.0,0.0,-0.001,-0.021
0.001,0.0,-0.0,0.0,-0.0,-0.021
0.001,0.0,-0.0,0.0,-0.0,-0.021
0.001,0.0,-0.0,0.0,-0.0,-0.021
0.001,0.0,-0.0,0.0,-0.0,-0.021
0.001,0.0,-0.0,0.0,-0.0,-0.022
0.001,0.0,-0.0,0.0,-0.0,-0.022
0.001,0.0,-0.0,0.0,-0.0,-0.022
0.001,0.0,-0.0,0.0,-0.0,-0.022
0.001,0.0,-0.0,0.0,-0.0,-0.022
0.001,0.0,-0.0,0.0,-0.0,-0.022
0.001,0.0,-0.0,0.0,-0.0,-0.022
0.001,0.0,-0.0,0.0,-0.0,-0.023
0.001,0.0,-0.0,0.0,-0.0,-0.023
0.001,0.0,-0.0,0.0,-0.0,-0.023
0.001,0.0,-0.0,0.0,-0.0,-0.023
0.001,0.0,-0.0,0.0,-0.0,-0.023
0.001,0.0,-0.0,0.0,-0.0,-0.023
0.001,0.0,-0.0,0.0,-0.0,-0.023
0.001,0.0,-0.0,0.0,-0.0,-0.024
0.001,0.0,-0.0,0.0,-0.0,-0.024
0.001,0.0,-0.0,0.0,-0.0,-0.024
0.001,0.0,-0.0,0.0,-0.0,-0.024
0.001,0.0,-0.0,0.0,-0.0,-0.024
0.001,0.0,-0.0,0.0,-0.0,-0.024
0.001,0.0,-0.0,0.0,-0.0,-0.024
0.001,0.0,-0.0,0.0,-0.0,-0.024
0.001,0.0,-0.0,0.0,-0.0,-0.025
0.001,0.0,-0.0,0.0,-0.0,-0.025
0.001,0.0,-0.0,0.0,-0.0,-0.025
0.001,0.0,-0.0,0.0,-0.0,-0.025
0.001,0.0,-0.0,0.0,-0.0,-0.025
0.001,0.0,-0.0,0.0,-0.0,-0.025
0.001,0.0,-0.0,0.0,-0.0,-0.025
0.001,0.0,-0.0,0.0,-0.0,-0.025
0.001,0.0,-0.0,0.0,-0.0,-0.026
0.001,0.0,-0.0,0.0,-0.0,-0.026
0.001,0.0,-0.0,0.0,-0.0,-0.026
0.001,0.0,-0.0,0.0,-0.0,-0.026
0.001,0.0,-0.0,0.0,-0.0,-0.026
0.001,0.0,-0.0,0.0,-0.0,-0.026
0.001,0.0,-0.0,0.0,-0.0,-0.026
0.001,0.0,-0.0,0.0,-0.0,-0.026
0.001,0.0,-0.0,0.0,-0.0,-0.027
0.001,0.0,-0.0,0.0,-0.0,-0.027
0.001,0.0,-0.0,0.0,-0.0,-0.027
0.001,0.0,-0.0,0.0,-0.0,-0.027
0.001,0.0,-0.0,0.0,-0.0,-0.027
0.001,0.0,-0.0,0.0,-0.0,-0.027
0.001,0.0,-0.0,0.0,-0.0,-0.027
0.001,0.0,-0.0,0.0,-0.0,-0.027
0.001,0.0,-0.0,0.0,-0.0,-0.028
0.001,0.0,-0.0,0.0,-0.0,-0.028
0.001,0.0,-0.0,0.0,-0.0,-0.028
0.001,0.0,-0.0,0.0,-0.0,-0.028
0.001,0.0,-0.0,0.0,-0.0,-0.028
0.001,0.0,-0.0,0.0,-0.0,-0.028
0.001,0.0,-0.0,0.0,-0.0,-0.028
0.001,0.0,-0.0,0.0,-0.0,-0.028
0.001,0.0,-0.0,0.0,-0.0,-0.028
0.001,0.0,-0.0,0.0,-0.0,-0.029
0.001,0.0,-0.0,0.0,-0.0,-0.029
0.001,0.0,-0.0,0.0,-0.0,-0.029
0.001,0.0,-0.0,0.0,-0.0,-0.029
0.001,0.0,-0.0,0.0,-0.0,-0.029
0.001,0.0,-0.0,0.0,-0.0,-0.029
0.001,0.0,-0.0,0.0,-0.0,-0.029
0.001,0.0,-0.0,0.0,-0.0,-0.029
0.001,0.0,-0.0,0.0,-0.0,-0.029
0.001,0.0,-0.0,0.0,-0.0,-0.03
0.001,0.0,-0.0,0.0,-0.0,-0.03
0.001,0.0,-0.0,0.0,-0.0,-0.03
0.001,0.0,-0.0,0.0,-0.0,-0.03
0.001,0.0,-0.0,0.0,-0.0,-0.03
0.001,0.0,-0.0,0.0,-0.0,-0.03
0.001,0.0,-0.0,0.0,-0.0,-0.03
0.001,0.0,-0.0,0.0,-0.0,-0.03
0.001,0.0,-0.0,0.0,-0.0,-0.03
0.001,0.0,-0.0,0.0,0.0,-0.03
0.001,0.0,-0.0,0.0,0.0,-0.031
0.001,0.0,-0.0,0.0,0.0,-0.031
0.001,0.0,-0.0,0.0,0.0,-0.031
0.001,0.0,-0.0,0.0,0.0,-0.031
0.001,0.0,-0.0,0.0,0.0,-0.031
0.001,0.0,-0.0,0.0,0.0,-0.031
0.001,0.0,-0.0,0.0,0.0,-0.031
0.001,0.0,-0.0,0.0,0.0,-0.031
0.001,0.0,-0.0,0.0,0.0,-0.031
0.001,0.0,-0.0,0.0,0.0,-0.031
0.001,0.0,-0.0,0.0,0.0,-0.032
0.001,0.0,-0.0,0.0,0.0,-0.032
0.001,0.0,-0.0,0.0,0.0,-0.032
0.001,0.0,-0.0,0.0,0.0,-0.032
0.001,0.0,-0.0,0.0,0.0,-0.032
0.001,0.0,-0.0,0.0,0.0,-0.032
0.001,0.0,-0.0,0.0,0.0,-0.032
0.001,0.0,-0.0,0.0,0.0,-0.032
0.001,0.0,-0.0,0.0,0.0,-0.032
0.001,0.0,-0.0,0.0,0.0,-0.032
0.001,0.0,-0.0,0.0,0.0,-0.032
0.001,0.0,-0.0,0.0,0.0,-0.032
0.001,0.0,-0.0,0.0,0.0,-0.033
0.001,0.0,-0.0,0.0,0.0,-0.033
0.001,0.0,-0.0,0.0,0.0,-0.033
0.001,0.0,-0.0,0.0,0.0,-0.033
0.001,0.0,-0.0,0.0,0.0,-0.033
0.001,0.0,-0.0,0.0,0.0,-0.033
0.001,0.0,-0.0,0.0,0.0,-0.033
0.001,0.0,-0.0,0.0,0.0,-0.033
0.001,0.0,-0.0,0.0,0.0,-0.033
0.001,0.0,-0.0,0.0,0.0,-0.033
0.001,0.0,-0.0,0.0,0.0,-0.033
0.001,0.0,-0.0,0.0,0.0,-0.033
0.001,0.0,-0.0,0.0,0.0,-0.033
0.001,0.0,-0.0,0.0,0.0,-0.033
0.001,0.0,-0.0,0.0,0.0,-0.034
0.001,0.0,-0.0,0.0,0.0,-0.034
0.001,0.0,-0.0,0.0,0.0,-0.034
0.001,0.0,-0.0,0.0,0.0,-0.034
0.001,0.0,-0.0,0.0,0.0,-0.034
0.001,0.0,-0.0,0.0,0.0,-0.034
0.001,0.0,-0.0,0.0,0.0,-0.034
0.001,0.0,-0.0,0.0,0.0,-0.034
0.001,0.0,-0.0,0.0,0.0,-0.034
0.001,0.0,-0.0,0.0,0.0,-0.034
0.001,0.0,-0.0,0.0,0.0,-0.034
0.001,0.0,-0.0,0.0,0.0,-0.034
0.001,0.0,-0.0,0.0,0.0,-0.034
0.001,0.0,-0.0,0.0,0.0,-0.034
0.001,0.0,-0.0,0.0,0.0,-0.034
0.001,0.0,-0.0,0.0,0.0,-0.034
0.001,0.0,-0.0,0.0,0.0,-0.034
0.0,0.0,-0.0,0.0,0.0,-0.034
0.0,0.0,-0.0,0.0,0.0,-0.034
0.0,0.0,-0.0,0.0,0.0,-0.034
0.0,0.0,-0.0,0.0,0.0,-0.034
0.0,0.0,-0.0,0.0,0.0,-0.034
0.0,0.0,-0.0,0.0,0.0,-0.034
0.0,0.0,-0.0,0.0,0.0,-0.035
0.0,0.0,-0.0,0.0,0.0,-0.035
0.0,0.0,-0.0,0.0,0.0,-0.035
0.0,0.0,-0.0,0.0,0.0,-0.035
0.0,0.0,-0.0,0.0,0.0,-0.035
0.0,0.0,-0.0,0.0,0.0,-0.035
0.0,0.0,-0.0,0.0,0.0,-0.035
0.0,0.0,-0.0,0.0,0.0,-0.035
0.0,0.0,-0.0,0.0,0.0,-0.035
0.0,0.0,-0.0,0.0,0.0,-0.035
0.0,0.0,-0.0,0.0,0.0,-0.035
0.0,0.0,-0.0,0.0,0.0,-0.035
0.0,0.0,-0.0,0.0,0.0,-0.035
0.0,0.0,-0.0,0.0,0.0,-0.034
0.0,0.0,-0.0,0.0,0.0,-0.034
0.0,0.0,-0.0,0.0,0.0,-0.034
0.0,0.0,-0.0,0.0,0.001,-0.034
0.0,0.0,-0.0,0.0,0.001,-0.034
0.0,0.0,-0.0,0.0,0.001,-0.034
0.0,0.0,-0.0,0.0,0.001,-0.034
0.0,0.0,-0.0,0.0,0.001,-0.034
0.0,0.0,-0.0,0.0,0.001,-0.034
0.0,0.0,-0.0,0.0,0.001,-0.034
0.0,0.0,-0.0,0.0,0.001,-0.034
0.0,0.0,-0.0,0.0,0.001,-0.034
0.0,0.0,-0.0,0.0,0.001,-0.034
0.0,0.0,-0.0,0.0,0.001,-0.034
0.0,0.0,-0.0,0.0,0.001,-0.034
0.0,0.0,-0.0,0.0,0.001,-0.034
0.0,0.0,-0.0,0.0,0.001,-0.034
0.0,0.0,-0.0,0.0,0.001,-0.034
0.0,0.0,-0.0,0.0,0.001,-0.034
0.0,0.0,-0.0,0.0,0.001,-0.033
0.0,0.0,-0.0,0.0,0.001,-0.033
0.0,0.0,-0.0,0.0,0.001,-0.033
0.0,0.0,-0.0,0.0,0.001,-0.033
0.0,0.0,-0.0,0.0,0.001,-0.033
0.0,0.0,-0.0,0.0,0.001,-0.033
0.0,0.0,-0.0,0.0,0.001,-0.033
0.0,0.0,-0.0,0.0,0.001,-0.033
0.0,0.0,-0.0,0.0,0.001,-0.033
0.0,0.0,-0.0,0.0,0.001,-0.033
0.0,0.0,-0.0,0.0,0.001,-0.033
0.0,0.0,-0.0,0.0,0.001,-0.032
0.0,0.0,-0.0,0.0,0.001,-0.032
0.0,0.0,-0.0,0.0,0.001,-0.032
0.0,0.0,-0.0,0.0,0.001,-0.032
0.0,0.0,-0.0,0.0,0.001,-0.032
0.0,0.0,-0.0,0.0,0.001,-0.032
0.0,0.0,-0.0,0.0,0.001,-0.032
0.0,0.0,-0.0,0.0,0.001,-0.032
0.0,0.0,-0.0,0.0,0.001,-0.031
0.0,0.0,-0.0,0.0,0.001,-0.031
0.0,0.0,-0.0,0.0,0.001,-0.031
0.0,0.0,-0.0,0.0,0.001,-0.031
0.0,0.0,-0.0,0.0,0.001,-0.031
0.0,0.0,-0.0,0.0,0.001,-0.031
0.0,0.0,-0.0,0.0,0.001,-0.031
0.0,0.0,-0.0,0.0,0.001,-0.031
0.0,0.0,-0.0,0.0,0.001,-0.03
0.0,0.0,-0.0,0.0,0.001,-0.03
0.0,0.0,-0.0,0.0,0.001,-0.03
0.0,0.0,-0.0,0.0,0.001,-0.03
0.0,0.0,-0.0,0.0,0.001,-0.03
0.0,0.0,-0.0,0.0,0.001,-0.03
0.0,0.0,-0.0,0.0,0.001,-0.03
0.0,0.0,-0.0,0.0,0.001,-0.03
0.0,0.0,-0.0,0.0,0.001,-0.029
0.0,0.0,-0.0,0.0,0.001,-0.029
0.0,0.0,-0.0,0.0,0.001,-0.029
0.0,0.0,-0.0,0.0,0.001,-0.029
0.0,0.0,-0.0,0.0,0.001,-0.029
0.0,0.0,-0.0,0.0,0.001,-0.029
0.0,0.0,-0.0,0.0,0.001,-0.029
0.0,0.0,-0.0,0.0,0.001,-0.028
0.0,0.0,-0.0,0.0,0.001,-0.028
0.0,0.0,-0.0,0.0,0.001,-0.028
0.0,0.0,-0.0,0.0,0.001,-0.028
0.0,0.0,-0.0,0.0,0.001,-0.028
0.0,0.0,-0.0,0.0,0.001,-0.028
0.0,0.0,-0.0,0.0,0.001,-0.028
0.0,0.0,-0.0,0.0,0.001,-0.027
0.0,0.0,-0.0,0.0,0.001,-0.027
0.0,0.0,-0.0,0.0,0.001,-0.027
0.0,0.0,-0.0,0.0,0.001,-0.027
0.0,0.0,-0.0,0.0,0.001,-0.027
0.0,0.0,-0.0,0.0,0.001,-0.027
0.0,0.0,-0.0,0.0,0.001,-0.026
0.0,0.0,-0.0,0.0,0.001,-0.026
0.0,0.0,-0.0,0.0,0.001,-0.026
0.0,0.0,-0.0,0.0,0.001,-0.026
0.0,0.0,-0.0,0.0,0.001,-0.026
0.0,0.0,-0.0,0.0,0.001,-0.026
0.0,0.0,-0.0,0.0,0.001,-0.026
0.0,0.0,-0.0,0.0,0.001,-0.025
0.0,0.0,-0.0,0.0,0.001,-0.025
0.0,0.0,-0.0,0.0,0.001,-0.025
0.0,0.0,-0.0,0.0,0.001,-0.025
0.0,0.0,-0.0,0.0,0.001,-0.025
0.0,0.0,-0.0,0.0,0.001,-0.025
0.0,0.0,-0.0,0.0,0.001,-0.025
0.0,0.0,-0.0,0.0,0.001,-0.024
0.0,0.0,-0.0,0.0,0.001,-0.024
0.0,0.0,-0.0,0.0,0.001,-0.024
0.0,0.0,-0.0,0.0,0.001,-0.024
0.0,0.0,-0.0,0.0,0.001,-0.024
0.0,0.0,-0.0,0.0,0.001,-0.024
0.0,0.0,-0.0,0.0,0.001,-0.024
0.0,0.0,-0.0,0.0,0.001,-0.023
0.0,0.0,-0.0,0.0,0.001,-0.023
0.0,0.0,-0.0,0.0,0.001,-0.023
0.0,0.0,-0.0,0.0,0.001,-0.023
0.0,0.0,-0.0,0.0,0.001,-0.023
0.0,0.0,-0.0,0.0,0.001,-0.023
0.0,0.0,-0.0,0.0,0.001,-0.023
0.0,0.0,-0.0,0.0,0.001,-0.023
0.0,0.0,-0.0,0.0,0.001,-0.022
0.0,0.0,-0.0,0.0,0.001,-0.022
0.0,0.0,-0.0,0.0,0.001,-0.022
0.0,0.0,-0.0,0.0,0.001,-0.022
0.0,0.0,-0.0,0.0,0.001,-0.022
0.0,0.0,-0.0,0.0,0.001,-0.022
0.0,0.0,-0.0,0.0,0.001,-0.022
0.0,0.0,-0.0,0.0,0.001,-0.021
0.0,0.0,-0.0,0.0,0.001,-0.021
0.0,0.0,-0.0,0.0,0.001,-0.021
0.0,0.0,-0.0,0.0,0.001,-0.021
0.0,0.0,-0.0,0.0,0.001,-0.021
0.0,0.0,-0.0,0.0,0.001,-0.021
0.0,0.0,-0.0,0.0,0.001,-0.021
0.0,0.0,-0.0,0.0,0.001,-0.021
0.0,0.0,-0.0,0.0,0.001,-0.02
0.0,0.0,-0.0,0.0,0.001,-0.02
0.0,0.0,-0.0,0.0,0.001,-0.02
0.0,0.0,-0.0,0.0,0.001,-0.02
0.0,0.0,-0.0,0.0,0.001,-0.02
0.0,0.0,-0.0,0.0,0.001,-0.02
0.0,0.0,-0.0,0.0,0.001,-0.02
0.0,0.0,-0.0,0.0,0.001,-0.019
0.0,0.0,-0.0,0.0,0.001,-0.019
0.0,0.0,-0.0,0.0,0.001,-0.019
0.0,0.0,-0.0,0.0,0.001,-0.019
0.0,0.0,-0.0,0.0,0.001,-0.019
0.0,0.0,-0.0,0.0,0.001,-0.019
0.0,0.0,-0.0,0.0,0.001,-0.019
0.0,0.0,-0.0,0.0,0.001,-0.019
0.0,0.0,-0.0,0.0,0.001,-0.019
0.0,0.0,-0.0,0.0,0.001,-0.018
0.0,0.0,-0.0,0.0,0.001,-0.018
0.0,0.0,-0.0,0.0,0.001,-0.018
0.0,0.0,-0.0,0.0,0.001,-0.018
0.0,0.0,-0.0,0.0,0.001,-0.018
0.0,0.0,-0.0,0.0,0.001,-0.018
0.0,0.0,-0.0,0.0,0.001,-0.018
0.0,0.0,-0.0,0.0,0.001,-0.018
0.0,0.0,-0.0,0.0,0.001,-0.017
0.0,0.0,-0.0,0.0,0.001,-0.017
0.0,0.0,-0.0,0.0,0.001,-0.017
0.0,0.0,-0.0,0.0,0.001,-0.017
0.0,0.0,-0.0,0.0,0.001,-0.017
0.0,0.0,-0.0,0.0,0.001,-0.017
0.0,0.0,-0.0,0.0,0.001,-0.017
0.0,0.0,-0.0,0.0,0.001,-0.017
0.0,0.0,-0.0,0.0,0.001,-0.017
0.0,0.0,-0.0,0.0,0.001,-0.016
0.0,0.0,-0.0,0.0,0.001,-0.016
0.0,0.0,-0.0,0.0,0.001,-0.016
0.0,0.0,-0.0,0.0,0.001,-0.016
0.0,0.0,-0.0,0.0,0.001,-0.016
0.0,0.0,-0.0,0.0,0.001,-0.016
0.0,0.0,-0.0,0.0,0.001,-0.016
0.0,0.0,-0.0,0.0,0.001,-0.016
0.0,0.0,-0.0,0.0,0.001,-0.016
0.0,0.0,-0.0,0.0,0.001,-0.015
0.0,0.0,-0.0,0.0,0.001,-0.015
0.0,0.0,-0.0,0.0,0.001,-0.015
0.0,0.0,-0.0,0.0,0.001,-0.015
0.0,0.0,-0.0,0.0,0.001,-0.015
0.0,0.0,-0.0,0.0,0.001,-0.015
0.0,0.0,-0.0,0.0,0.001,-0.015
0.0,0.0,-0.0,0.0,0.001,-0.015
